A_size, Insertar, Union, EliminarMinimo, DecrementarElemento
100, 461, 231, 1485, 130
300, 253, 276, 8436, 155
500, 70, 29, 740, 46
700, 216, 104, 1145, 163
900, 59, 29, 643, 46
1100, 59, 29, 745, 48
1300, 88, 94, 1522, 110
1500, 165, 97, 1723, 176
1700, 54, 24, 933, 46
1900, 54, 24, 1020, 46
2100, 155, 84, 2370, 152
2300, 79, 33, 2382, 19
2500, 38, 13, 1240, 6
2700, 55, 25, 2605, 13
2900, 38, 11, 1394, 6
3100, 38, 12, 1453, 13
3300, 38, 12, 593, 6
3500, 38, 12, 621, 6
3700, 39, 12, 655, 6
3900, 55, 25, 1161, 11
4100, 55, 24, 1192, 11
4300, 53, 21, 1186, 10
4500, 48, 22, 1265, 10
4700, 37, 11, 786, 6
4900, 44, 12, 1273, 8
5100, 38, 12, 831, 6
5300, 60, 33, 2407, 11
5500, 45, 19, 923, 7
5700, 36, 11, 1564, 10
5900, 36, 11, 954, 6
6100, 46, 12, 905, 6
6300, 37, 11, 1036, 6
6500, 41, 35, 1180, 7
6700, 39, 11, 1378, 6
6900, 46, 21, 1052, 6
7100, 35, 11, 1183, 50
7300, 36, 11, 1104, 50
7500, 36, 12, 1469, 54
7700, 36, 11, 2335, 1
7900, 34, 3, 1214, 0
8100, 49, 5, 1383, 0
8300, 28, 5, 1120, 0
8500, 42, 3, 1571, 0
8700, 29, 4, 1345, 0
8900, 29, 3, 1227, 0
9100, 29, 3, 1324, 0
9300, 43, 3, 1307, 0
9500, 29, 3, 2072, 0
9700, 29, 3, 1485, 0
9900, 31, 5, 2125, 0
10100, 29, 3, 1433, 0
10300, 41, 3, 1425, 0
10500, 29, 3, 1449, 0
10700, 29, 3, 1698, 0
10900, 29, 3, 1483, 0
11100, 41, 3, 1530, 0
11300, 28, 3, 1622, 0
11500, 29, 3, 1620, 0
11700, 29, 3, 1633, 0
11900, 41, 3, 1580, 0
12100, 30, 3, 1735, 0
12300, 31, 3, 2254, 0
12500, 30, 3, 1765, 0
12700, 48, 3, 1698, 0
12900, 28, 3, 1754, 0
13100, 28, 3, 1753, 0
13300, 29, 3, 1832, 0
13500, 41, 3, 1863, 0
13700, 29, 3, 1913, 0
13900, 28, 3, 1937, 0
14100, 28, 3, 1926, 0
14300, 38, 3, 1879, 0
14500, 39, 3, 1913, 0
14700, 28, 3, 1932, 0
14900, 28, 3, 2003, 0
15100, 28, 3, 2030, 0
15300, 28, 3, 2051, 0
15500, 39, 3, 1997, 0
15700, 28, 3, 2048, 0
15900, 38, 3, 2069, 2
16100, 28, 3, 2184, 0
16300, 28, 3, 2143, 0
16500, 42, 3, 2093, 0
16700, 28, 3, 2126, 0
16900, 28, 3, 2198, 0
17100, 42, 3, 2183, 0
17300, 28, 3, 2243, 0
17500, 39, 3, 2136, 0
17700, 28, 3, 2237, 0
17900, 28, 3, 2438, 0
18100, 28, 3, 2468, 0
18300, 39, 3, 2390, 0
18500, 28, 3, 2368, 0
18700, 39, 3, 2399, 0
18900, 40, 3, 2376, 0
19100, 28, 3, 2602, 0
19300, 28, 3, 2423, 0
19500, 39, 3, 2436, 0
19700, 28, 4, 2653, 0
19900, 38, 3, 2951, 0
20100, 28, 3, 2614, 0
